City,Cloudiness,Country,Date,Humidity,Long,Lat,Max Temp(°F),Wind Speed
Bulgan,88,MN,1552938528,55,103.53,48.81,15.45,10.94
Hasaki,75,JP,1552937675,81,140.83,35.73,48.2,1.12
Provideniya,8,RU,1552938528,100,-173.23,64.42,3.66,6.91
Havoysund,40,NO,1552936800,85,24.66,71.0,23.0,11.41
Imbituba,40,BR,1552937280,83,-48.67,-28.24,80.6,6.93
Astoria,1,US,1552938394,24,-123.83,46.19,68.0,17.22
Port Alfred,20,ZA,1552938391,95,26.89,-33.59,73.99,11.16
Norman Wells,75,CA,1552935600,60,-126.83,65.28,41.0,2.24
Carutapera,32,BR,1552938530,89,-46.02,-1.2,80.07,4.34
Mayo,90,CA,1552935600,46,-135.9,63.59,50.0,10.29
Auki,0,NG,1552938530,21,6.51,12.18,80.43,10.09
Borgarnes,90,IS,1552938411,87,-21.92,64.54,46.0,25.28
Pundaguitan,92,PH,1552938530,100,126.17,6.37,75.75,15.46
Bakau,0,GM,1552935600,69,-16.68,13.48,75.2,11.41
Itarema,88,BR,1552938536,84,-39.92,-2.92,81.06,6.24
Surt,0,LY,1552938536,71,16.59,31.21,64.14,14.67
Ganganagar,20,IN,1552938536,41,77.13,16.78,76.11,4.38
Ferrol,20,ES,1552938481,71,-8.23,43.48,52.0,9.17
Coahuayana,0,MX,1552938536,36,-100.35,18.62,83.58,2.89
Teya,90,MX,1552938349,51,-89.07,21.05,86.0,13.87
Wagar,56,US,1552938440,34,-87.99,31.44,64.99,4.0
Puerto Escondido,40,MX,1552934400,70,-97.07,15.86,84.2,10.29
Quatre Cocos,40,MU,1552938243,78,57.76,-20.21,82.4,6.93
Meadow Lake,5,CA,1552935600,60,-108.44,54.13,41.0,8.05
Pampa,1,US,1552938346,22,-100.96,35.54,68.0,14.99
Thongwa,0,MM,1552935600,74,96.52,16.76,78.8,6.93
Kapaa,90,US,1552938498,53,-159.32,22.08,73.4,13.87
Chuy,88,UY,1552938538,92,-53.46,-33.69,74.85,5.5
Kiunga,12,PG,1552938538,92,141.3,-6.12,69.72,2.04
Viedma,0,AR,1552938538,33,-62.99,-40.81,64.68,10.76
Mayumba,92,GA,1552938538,100,10.65,-3.44,80.61,4.72
Visby,75,SE,1552938407,93,18.3,57.64,37.0,16.11
Airai,64,TL,1552938539,87,125.41,-8.93,70.53,2.04
Pangnirtung,40,CA,1552935600,68,-65.72,66.15,-20.21,8.05
Scarborough,8,GB,1552938365,81,-0.41,54.28,48.0,4.7
Cape Town,75,ZA,1552938310,88,18.42,-33.93,72.0,14.99
Ujhani,0,IN,1552938539,64,79.01,28.0,62.52,5.5
Ambon,90,FR,1552938508,93,-2.56,47.55,46.99,4.7
Nemuro,48,JP,1552938540,86,145.57,43.32,35.43,26.64
La Ronge,5,CA,1552935600,60,-105.3,55.1,39.2,13.87
Lorengau,80,PG,1552938540,96,147.27,-2.02,83.58,13.29
Ilulissat,20,GL,1552935000,40,-51.1,69.22,-0.41,4.7
East London,20,ZA,1552935600,94,27.91,-33.02,73.4,11.41
Abashiri,0,JP,1552936266,63,144.25,44.01,37.0,7.0
Noumea,0,NC,1552935600,88,166.46,-22.28,71.6,5.57
Elizabeth City,40,US,1552938298,66,-76.22,36.3,59.0,10.16
Roald,40,NO,1552938387,90,6.12,62.58,35.6,4.7
Rosarito,40,CO,1552935600,62,-75.23,4.91,86.0,6.93
Pontivy,90,FR,1552938508,93,-2.97,48.06,46.99,4.7
Lapi,0,EE,1552938495,93,26.99,57.91,37.0,9.17
Cacu,0,BR,1552938547,59,-51.13,-18.56,87.18,5.39
Shimoda,76,JP,1552938311,62,138.93,34.7,48.0,1.01
Wanaka,80,NZ,1552938547,96,169.14,-44.7,53.34,2.55
Matara,90,PE,1552935600,66,-72.9,-13.74,53.6,13.87
Karratha,0,AU,1552938547,81,116.85,-20.74,73.59,3.11
Saint George,20,GR,1552935000,93,22.34,39.45,51.8,3.56
Esperance,20,TT,1552938320,45,-61.45,10.24,88.0,13.87
Grindavik,75,IS,1552938396,93,-22.43,63.84,46.0,28.86
Kaitangata,88,NZ,1552938548,99,169.85,-46.28,57.21,5.35
Klyuchevskiy,80,RU,1552938548,63,119.45,53.53,18.87,8.63
San Cristobal,75,EC,1552938398,43,-78.55,-0.39,73.4,9.17
Khatanga,88,RU,1552938549,80,102.47,71.98,1.59,7.25
Narsaq,75,GL,1552935000,80,-46.05,60.91,30.2,1.12
Raudeberg,20,NO,1552938311,69,5.14,61.99,39.2,10.29
Barrow,0,AR,1552938549,71,-60.23,-38.31,64.14,12.28
Harper,1,US,1552938373,25,-99.24,30.3,68.0,11.41
Mount Gambier,90,AU,1552937400,100,140.78,-37.83,53.6,2.77
Ornskoldsvik,75,SE,1552936800,86,18.72,63.29,30.2,8.05
Mount Isa,0,AU,1552935600,43,139.49,-20.73,69.8,4.7
Kongwa,0,TZ,1552938555,86,36.41,-6.19,63.78,4.05
Mitu,20,IR,1552938555,91,46.09,36.2,24.18,2.55
Inongo,36,CD,1552938555,97,18.29,-1.93,74.67,2.33
Castro,75,CL,1552935600,54,-73.76,-42.48,55.4,16.11
Mahebourg,40,MU,1552938544,78,57.7,-20.41,82.4,6.93
Bull Savanna,20,JM,1552938556,45,-77.59,17.89,83.04,6.62
Aleksin,20,RU,1552935600,86,37.07,54.5,37.4,11.18
Boffa,0,GN,1552938556,58,-14.04,10.18,79.53,9.26
Oranjestad,40,AW,1552935600,66,-70.03,12.52,84.2,24.16
Ancud,75,CL,1552935600,54,-73.83,-41.87,55.4,16.11
Cherskiy,32,RU,1552938557,77,161.3,68.75,-12.19,8.41
Semnan,75,IR,1552935600,39,53.39,35.58,48.2,9.17
Marystown,68,CA,1552938146,100,-55.16,47.17,30.99,16.46
Clyde River,75,CA,1552935600,69,-68.59,70.47,-13.01,29.97
Pisco,75,PE,1552935600,30,-76.2,-13.71,71.6,10.29
Lekoni,44,GA,1552938558,93,14.26,-1.58,72.06,3.89
Cazanesti,0,RO,1552938336,45,27.02,44.62,61.0,1.01
Najran,40,SA,1552935600,43,44.22,17.54,69.8,6.93
Oranjemund,92,ZA,1552938558,95,16.43,-28.55,64.77,11.61
Nuevo Laredo,90,US,1552938305,34,-99.5,27.49,66.2,8.05
Katobu,32,ID,1552938559,100,122.53,-4.94,81.24,3.89
Artesia,1,US,1552938401,33,-104.4,32.84,62.01,6.93
Faanui,20,PF,1552938559,100,-151.75,-16.48,82.68,4.0
Saint-Augustin,92,FR,1552938490,93,-0.61,44.83,50.0,6.93
Rome,20,IT,1552938528,71,12.48,41.89,54.0,5.82
Deputatskiy,20,RU,1552938565,48,139.9,69.3,-30.91,4.38
Barcelos,0,PT,1552938437,76,-8.62,41.53,55.99,9.17
College,1,US,1552938395,80,-147.8,64.86,48.99,6.13
Sept-Iles,90,CA,1552938510,48,-66.38,50.2,24.01,6.93
Necochea,0,AR,1552938522,52,-58.74,-38.55,70.0,11.01
Luderitz,8,NA,1552938566,90,15.16,-26.65,61.26,8.41
Kurduvadi,0,IN,1552938566,35,75.41,18.09,71.79,10.27
Poum,0,MK,1552937400,61,20.71,41.28,46.4,2.24
Trinidad,75,UY,1552935600,61,-56.9,-33.52,80.6,11.41
Lewistown,75,US,1552938420,60,-90.15,40.39,50.0,6.93
Markova,90,RU,1552938446,85,104.21,52.21,23.0,15.66
Quepos,75,CR,1552938367,50,-84.16,9.43,87.01,20.8
Baykit,48,RU,1552938567,71,96.39,61.68,5.46,4.12
Paamiut,44,GL,1552938567,100,-49.67,61.99,21.66,35.43
Quelimane,76,MZ,1552938373,89,36.89,-17.88,79.26,2.26
Bara,0,NG,1552938568,24,10.6,10.41,79.44,8.25
Sampit,36,ID,1552938568,95,112.95,-2.54,71.7,3.04
Bhalwal,100,PK,1552938568,85,72.91,32.26,60.99,8.37
Fortuna,75,ES,1552938567,58,-1.13,38.18,57.2,4.7
Orange Cove,1,US,1552938564,37,-119.31,36.62,78.01,4.05
Soria,64,ES,1552938370,70,-2.46,41.76,37.99,15.99
Beloha,68,MG,1552938569,82,45.06,-25.17,73.23,7.25
Dzilam Gonzalez,76,MX,1552938569,61,-88.93,21.28,81.51,4.56
Garowe,0,SO,1552938569,68,48.48,8.41,72.42,10.54
Tabuk,56,PH,1552938570,99,121.44,17.41,63.78,1.77
Ladario,0,PT,1552938346,53,-7.74,40.7,55.99,2.59
San Juan de la Maguana,20,DO,1552935600,62,-71.23,18.81,84.2,19.46
Port Lincoln,68,AU,1552938575,100,135.86,-34.72,60.18,6.06
Kloulklubed,75,PW,1552935180,88,134.26,7.04,77.0,4.7
Richards Bay,12,ZA,1552938575,94,32.06,-28.77,73.5,3.27
Vao,12,EE,1552938576,92,26.19,59.1,33.81,10.31
Tommot,44,RU,1552938576,73,126.27,58.97,4.38,2.59
Eenhana,80,NA,1552935600,16,16.34,-17.48,93.2,3.36
Jumla,76,NP,1552938576,78,82.18,29.28,23.91,1.88
Hualmay,24,PE,1552938576,70,-77.61,-11.1,76.47,5.01
Shelburne,20,CA,1552938565,47,-80.2,44.08,39.0,11.41
Rozkishne,0,UA,1552938577,94,37.59,48.5,36.6,4.61
Coihaique,75,CL,1552935600,60,-72.07,-45.58,51.8,26.4
Tiarei,40,PF,1552938205,70,-149.33,-17.53,87.01,3.36
Aswan,0,EG,1552935600,18,32.9,24.09,73.4,9.17
Esso,48,RU,1552938577,81,158.7,55.93,6.81,2.55
Talcahuano,0,CL,1552935900,37,-73.12,-36.72,66.2,23.04
Halifax,75,CA,1552938366,40,-63.58,44.65,37.0,18.34
Elat,24,CM,1552938578,85,11.16,2.91,72.51,2.59
Ouesso,8,CG,1552938578,86,16.05,1.61,78.18,2.71
Mabaruma,92,GY,1552938578,82,-59.78,8.2,79.53,9.04
Gao,0,ML,1552938578,23,-0.04,16.28,86.55,10.83
Tuatapere,80,NZ,1552938006,96,167.69,-46.13,57.0,5.01
Kurovskoye,75,RU,1552935600,80,38.92,55.58,35.6,11.18
Naze,0,NG,1552938579,73,7.07,5.43,80.34,6.58
Lac du Bonnet,76,CA,1552938343,67,-96.06,50.25,35.01,7.0
Touros,20,BR,1552935600,70,-35.46,-5.2,86.0,11.41
Hargeysa,0,SO,1552938579,85,44.06,9.56,57.84,3.0
Celestun,92,MX,1552938585,100,-90.4,20.87,75.57,9.93
Cabo San Lucas,5,MX,1552938413,40,-109.91,22.89,81.0,11.41
Nha Trang,20,VN,1552935600,88,109.19,12.24,77.0,4.7
Lakes Entrance,88,AU,1552938561,98,147.99,-37.88,66.0,1.01
Axim,0,GH,1552938585,98,-2.24,4.87,83.49,10.38
Aykhal,12,RU,1552938585,57,111.51,65.95,-13.09,2.77
Cascais,0,PT,1552938429,54,-9.42,38.7,61.0,18.34
Mocuba,88,MZ,1552938586,95,36.99,-16.84,72.15,4.23
Ketchikan,1,US,1552935360,87,-131.65,55.34,55.4,5.82
Aksarka,0,RU,1552938586,56,67.8,66.56,2.94,4.27
Kanigoro,80,ID,1552938586,96,112.22,-8.13,78.81,8.59
Innerleithen,75,GB,1552938489,81,-3.06,55.62,46.4,6.93
Kimamba,0,TZ,1552938586,70,37.14,-6.79,74.31,6.02
Qasigiannguit,20,GL,1552935000,40,-51.19,68.82,-0.41,4.7
Virginia Beach,90,US,1552938516,76,-75.98,36.85,53.6,12.75
Dunedin,64,NZ,1552938095,87,170.5,-45.87,59.0,7.0
Cabinda,64,AO,1552938587,100,12.19,-5.56,83.67,8.86
Vuktyl,92,RU,1552938377,93,57.31,63.86,29.31,5.01
Terrace,75,CA,1552938366,75,-128.61,54.52,48.0,8.05
Kalanchak,0,UA,1552938587,78,33.28,46.26,41.64,10.87
Salalah,0,OM,1552935000,78,54.1,17.01,80.6,4.7
Spornoye,0,RU,1552935600,70,37.29,50.84,42.8,6.71
Muriwai Beach,88,NZ,1552938538,93,174.45,-36.82,66.99,4.7
Plettenberg Bay,20,ZA,1552938588,100,23.37,-34.05,69.45,7.85
Marsh Harbour,80,BS,1552938588,100,-77.06,26.54,75.03,11.32
Lebanon,1,US,1552938584,24,-72.25,43.64,37.0,9.17
Eureka,1,US,1552938428,100,-124.16,40.8,69.01,8.05
Komsomolskiy,80,RU,1552938590,89,63.78,67.55,22.65,11.65
Xiongzhou,0,CN,1552938570,93,118.83,32.34,51.01,4.47
Zaysan,0,KZ,1552938595,71,84.87,47.47,4.11,2.71
Sitka,0,US,1552938364,40,-99.65,37.17,59.0,14.0
Lompoc,1,US,1552938573,38,-120.46,34.64,73.4,6.93
Taltal,0,CL,1552938596,72,-70.49,-25.41,68.64,4.0
Wanning,88,AT,1552938502,87,13.53,48.64,37.99,4.7
Winnemucca,1,US,1552938369,30,-117.74,40.97,57.99,3.6
Rabo de Peixe,75,PT,1552938573,82,-25.58,37.8,59.0,5.82
Vardo,90,US,1552938491,31,-77.74,39.62,48.99,6.93
Wisla,75,PL,1552938582,67,18.86,49.66,41.0,1.12
Saint-Pierre,75,FR,1552938518,80,4.24,48.95,41.0,4.7
Morondava,76,MG,1552938597,92,44.28,-20.3,78.99,4.12
Meulaboh,64,ID,1552938598,100,96.13,4.14,78.18,3.33
Mackenzie,1,CA,1552935600,49,-123.09,55.34,46.4,8.05
Velingara,0,SN,1552938598,27,-16.01,13.64,83.76,10.31
Kapuskasing,20,CA,1552935600,29,-82.43,49.42,23.0,6.93
Sioux Lookout,90,CA,1552935600,47,-91.92,50.1,37.4,8.05
Torbay,40,CA,1552938505,92,-52.73,47.66,33.01,20.8
Haines Junction,68,CA,1552938599,93,-137.51,60.75,36.78,3.0
Moree,0,AU,1552937460,82,149.84,-29.46,64.4,6.93
Namatanai,12,PG,1552938599,100,152.44,-3.66,82.5,9.75
Hauterive,0,FR,1552938403,75,3.45,46.09,42.8,2.24
Batemans Bay,92,AU,1552938502,97,150.18,-35.71,64.99,3.0
Lansing,90,US,1552938402,35,-84.56,42.73,43.0,5.82
Nova Olimpia,12,BR,1552938600,68,-57.29,-14.8,89.88,3.6
Longyearbyen,90,NO,1552935000,85,15.63,78.22,15.8,39.15
Sterling,90,US,1552938494,42,-77.4,39.0,48.99,6.93
Bathsheba,20,BB,1552935600,58,-59.52,13.22,84.2,19.46
Inhambane,0,MZ,1552938606,100,35.38,-23.87,76.29,8.59
Bafq,0,IR,1552938606,50,55.4,31.6,36.51,2.33
San Patricio,56,PY,1552938606,82,-56.83,-26.98,77.28,2.37
Goundam,0,ML,1552938606,27,-3.66,16.42,79.08,8.3
Kishtwar,92,IN,1552938606,76,75.77,33.31,29.31,1.7
Turukhansk,68,RU,1552938606,68,87.96,65.8,-1.3,6.35
Omboue,36,GA,1552938607,98,9.26,-1.57,84.93,7.81
Copala,0,MX,1552938607,49,-98.97,16.61,87.99,9.53
Sao Filipe,8,CV,1552938607,87,-24.5,14.9,73.41,12.06
La Reforma,40,GT,1552938603,55,-91.82,14.8,93.2,13.87
Natchez,1,US,1552938306,30,-91.4,31.56,68.0,11.41
Pankovka,0,RU,1552938608,91,31.2,58.5,30.21,8.81
Waipawa,8,NZ,1552938557,90,176.59,-39.94,61.0,3.56
Portland,1,US,1552938059,47,-122.67,45.52,68.0,19.46
Camabatela,76,AO,1552938608,95,15.37,-8.19,68.01,2.89
Fare,0,PF,1552938608,100,-151.02,-16.7,83.76,0.76
Tazovskiy,88,RU,1552938609,80,78.7,67.47,8.61,9.53
Lasa,20,CY,1552938335,87,32.53,34.92,60.8,3.36
Yumen,56,CN,1552938609,41,97.04,40.29,39.93,14.12
Coria,0,ES,1552938609,60,-6.54,39.98,46.32,9.53
Obidos,0,PT,1552938608,62,-9.16,39.36,57.99,9.17
Manokwari,36,ID,1552938609,97,134.08,-0.87,81.33,5.73
Gweta,20,BW,1552938610,36,25.26,-20.21,77.37,7.4
Muisne,75,EC,1552935600,94,-80.02,0.61,80.6,6.93
Naryan-Mar,92,RU,1552938610,90,53.09,67.67,29.67,13.11
Klaksvik,92,FO,1552936800,93,-6.59,62.23,42.8,10.29
Jalingo,0,NG,1552938616,24,10.93,10.3,79.44,8.25
Kidal,0,ML,1552938616,17,1.41,18.44,78.54,9.26
Ahipara,24,NZ,1552938616,86,173.16,-35.17,68.46,6.02
Hirara,100,JP,1552938616,100,125.28,24.8,70.35,9.75
Paducah,1,US,1552938344,32,-88.6,37.08,55.4,9.17
Beidao,92,CN,1552938616,81,105.89,34.57,43.26,9.75
Pochutla,20,MX,1552938373,46,-96.47,15.74,90.0,7.85
Parana,40,BR,1552935600,100,-72.89,-7.52,78.8,3.36
Kununurra,12,AU,1552935600,83,128.74,-15.77,82.4,5.82
Darhan,88,MN,1552938617,58,105.92,49.49,20.04,13.85
La Libertad,20,PE,1552935600,40,-71.56,-16.38,69.8,11.41
Beringovskiy,32,RU,1552938618,100,179.32,63.05,-5.8,13.96
Hambantota,68,LK,1552938618,100,81.12,6.12,80.07,8.41
Chartres,90,FR,1552938563,100,1.49,48.45,45.0,2.24
Karpathos,20,GR,1552935000,82,27.21,35.51,60.8,11.41
Alice Springs,32,AU,1552935600,20,133.88,-23.7,68.0,4.7
Sobolevo,48,RU,1552938619,90,31.9,54.43,36.69,5.5
Altay,0,CN,1552938619,61,88.13,47.83,-0.31,2.37
Yendi,48,GH,1552938619,75,0.0,9.45,78.63,5.12
Yinchuan,88,CN,1552938619,63,106.21,38.48,32.01,3.11
Maniitsoq,44,GL,1552938620,100,-52.9,65.42,1.68,28.16
Namioka,24,JP,1552938608,40,140.59,40.71,43.0,4.0
La Macarena,44,CO,1552938620,95,-73.79,2.18,73.68,1.99
Meiktila,0,MM,1552938620,88,95.86,20.88,64.77,5.91
Barentu,0,ER,1552938620,74,37.59,15.11,65.76,1.81
Sosnovo-Ozerskoye,48,RU,1552938626,68,111.54,52.53,16.26,11.05
Abakaliki,32,NG,1552938626,57,8.11,6.32,85.56,9.15
Mangan,0,IN,1552938626,62,88.54,27.5,12.12,1.88
Henties Bay,0,NA,1552935731,92,14.28,-22.12,62.01,1.99
Tasiilaq,88,GL,1552935000,85,-37.64,65.61,23.0,29.97
Karabanovo,88,RU,1552938626,95,38.7,56.31,32.46,18.1
Barabai,80,ID,1552938626,94,115.38,-2.59,74.58,1.03
Xuddur,0,SO,1552938627,41,43.89,4.12,78.09,9.42
Galle,1,US,1552938624,34,-97.91,29.74,70.0,8.05
Oistins,20,BB,1552935600,58,-59.53,13.07,84.2,19.46
Wanlaweyn,0,SO,1552938627,80,44.89,2.62,78.27,11.16
Muyezerskiy,80,RU,1552938627,97,31.65,63.93,31.56,3.56
Kiboga,8,UG,1552938628,48,31.77,0.92,75.66,7.63
Murgab,75,TM,1552935600,82,61.97,37.5,55.4,6.93
Vanimo,88,PG,1552938628,100,141.3,-2.67,79.89,14.56
Molochnoye,0,UA,1552938628,87,34.04,44.91,34.98,7.07
Sao Felix do Xingu,24,BR,1552938628,86,-51.99,-6.64,80.79,1.88
Samoylovka,24,RU,1552937628,93,43.71,51.19,34.0,3.0
Amahai,20,ID,1552938629,100,129.0,-3.31,83.49,3.27
Taoudenni,68,ML,1552938629,12,-3.98,22.68,65.31,6.29
Nanortalik,64,GL,1552938629,99,-45.24,60.14,30.57,4.38
Adre,0,TD,1552938629,16,22.2,13.47,75.21,13.78
Rocha,0,UY,1552938536,73,-54.34,-34.48,74.58,12.28
Slave Lake,1,CA,1552935600,56,-114.77,55.28,42.8,4.7
Marcianise,40,IT,1552938402,100,14.3,41.03,57.99,2.77
